url,family,sitemap_src,status,num_redirects,final_url,x_robots,meta_robots,canonical,canonical_self,title,h1_count,ld_types,bytes,placeholder_flags
https://www.poolrentalnearme.com/,home,/sitemap-static.xml,200,0,https://www.poolrentalnearme.com/,,,https://www.poolrentalnearme.com/,Y,Pool Rental Near Me — Rent a Pool by the Hour | Private Pools Near You,1,"AggregateRating,Answer,ContactPoint,EntryPoint,FAQPage,Organization,Question,SearchAction,WebSite",130098,nan
https://www.poolrentalnearme.com/p/100-niche-ideas-for-branding-your-pool-rental-business,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/100-niche-ideas-for-branding-your-pool-rental-business,,,https://www.poolrentalnearme.com/p/100-niche-ideas-for-branding-your-pool-rental-business,Y,100 Unique Niche Ideas for Your Pool Rental Business | PRNM,1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",61903,nan
https://www.poolrentalnearme.com/p/2025-pool-design-trends-guide,event-guide,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/2025-pool-design-trends-guide,,,https://www.poolrentalnearme.com/p/2025-pool-design-trends-guide,Y,2025 Pool Design Trends for Maximizing Rental Income,2,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",55063,nan
https://www.poolrentalnearme.com/p/2025-pool-tech-trends-ai-smart-eco,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/2025-pool-tech-trends-ai-smart-eco,,,https://www.poolrentalnearme.com/p/2025-pool-tech-trends-ai-smart-eco,Y,"2025 Pool Tech Trends: AI, Smart, and Eco-Friendly",1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",54210,nan
https://www.poolrentalnearme.com/p/2026-best-swimming-pools,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/2026-best-swimming-pools,,,https://www.poolrentalnearme.com/p/2026-best-swimming-pools,Y,Best San Diego Swimming Pools to Rent in 2026 | PRNM,2,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",55370,nan
https://www.poolrentalnearme.com/p/2026-pool-tech-trends-ai-smart-eco,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/2026-pool-tech-trends-ai-smart-eco,,,https://www.poolrentalnearme.com/p/2026-pool-tech-trends-ai-smart-eco,Y,"2026 Pool Tech Trends: AI, Smart &amp; Eco",1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",49680,nan
https://www.poolrentalnearme.com/p/a-guide-for-getting-rid-of-bees-at-your-pool,event-guide,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/a-guide-for-getting-rid-of-bees-at-your-pool,,,https://www.poolrentalnearme.com/p/a-guide-for-getting-rid-of-bees-at-your-pool,Y,How to Get Rid of Bees at Your Pool - A Host&#x27;s Guide,1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",52026,nan
https://www.poolrentalnearme.com/p/about,cms/other,/sitemap-static.xml,200,0,https://www.poolrentalnearme.com/p/about,,,https://www.poolrentalnearme.com/p/about,Y,About Pool Rental Near Me - Rent Private Pools by the Hour,1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",48390,nan
https://www.poolrentalnearme.com/p/above-ground-pools-the-best-choices-for-summer,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/above-ground-pools-the-best-choices-for-summer,,,https://www.poolrentalnearme.com/p/above-ground-pools-the-best-choices-for-summer,Y,Above Ground Pools: The Best Choices for Summer Fun,1,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",53318,nan
https://www.poolrentalnearme.com/p/academia,cms/other,/sitemap-pages-articles.xml,200,0,https://www.poolrentalnearme.com/p/academia,,,https://www.poolrentalnearme.com/p/academia,Y,Academia de Anfitriones: 40 Cursos Gratis en Español | PRNM,2,"AggregateRating,Answer,Article,BreadcrumbList,ContactPoint,EntryPoint,FAQPage,ImageObject,ListItem,Organization,Person,Q",50395,nan;todo
https://www.poolrentalnearme.com/p/academy-catalog,cms/other,/sitemap-pages-academy.xml,200,0,https://www.poolrentalnearme.com/p/academy-catalog,,,https://www.poolrentalnearme.com/p/academy-catalog,Y,Complete Course Catalog: 193 Free Pool Host Courses | PRNM,2,"AggregateRating,BreadcrumbList,ContactPoint,EntryPoint,ListItem,Organization,SearchAction,WebSite",86824,nan
